year,month,average,trend
2009,11,386.75,386.93
2009,12,387.63,387.07
2010,1,388.42,387.40
2010,2,389.14,387.73
2010,3,389.48,387.84
2010,4,389.79,387.98
2010,5,389.76,388.17
2010,6,388.83,388.33
2010,7,387.18,388.57
2010,8,386.06,388.87
2010,9,386.52,389.22
2010,10,388.07,389.49
2010,11,389.43,389.62
2010,12,390.18,389.64
2011,1,390.74,389.69
2011,2,391.17,389.75
2011,3,391.48,389.84
2011,4,391.86,390.05
2011,5,391.89,390.27
2011,6,390.95,390.45
2011,7,389.01,390.39
2011,8,387.68,390.46
2011,9,388.09,390.80
2011,10,389.65,391.12
2011,11,391.03,391.24
2011,12,391.86,391.36
2012,1,392.43,391.38
2012,2,393.03,391.61
2012,3,393.55,391.91
2012,4,393.81,392.01
2012,5,393.69,392.09
2012,6,392.65,392.16
2012,7,390.79,392.22
2012,8,389.68,392.52
2012,9,390.35,393.06
2012,10,391.96,393.39
2012,11,393.37,393.53
2012,12,394.20,393.62
2013,1,394.87,393.90
2013,2,395.49,394.13
2013,3,396.09,394.47
2013,4,396.54,394.73
2013,5,396.55,394.94
2013,6,395.75,395.23
2013,7,394.26,395.62
2013,8,393.04,395.81
2013,9,393.02,395.69
2013,10,394.31,395.73
2013,11,395.76,395.95
2013,12,396.66,396.13
2014,1,397.29,396.22
2014,2,397.75,396.32
2014,3,398.05,396.37
2014,4,398.40,396.55
2014,5,398.47,396.82
2014,6,397.51,396.94
2014,7,395.92,397.25
2014,8,394.81,397.61
2014,9,394.89,397.66
2014,10,396.14,397.68
2014,11,397.62,397.91
2014,12,398.60,398.12
2015,1,399.32,398.27
2015,2,399.88,398.45
2015,3,400.33,398.62
2015,4,400.73,398.86
2015,5,400.68,399.04
2015,6,399.83,399.26
2015,7,398.14,399.42
2015,8,396.83,399.60
2015,9,397.11,399.90
2015,10,398.56,400.14
2015,11,400.13,400.44
2015,12,401.43,400.95
2016,1,402.40,401.38
2016,2,403.03,401.64
2016,3,403.61,401.95
2016,4,404.14,402.29
2016,5,404.21,402.58
2016,6,403.42,402.86
2016,7,401.88,403.18
2016,8,400.58,403.36
2016,9,400.75,403.52
2016,10,402.19,403.70
2016,11,403.55,403.81
2016,12,404.45,403.94
2017,1,405.10,404.08
2017,2,405.69,404.30
2017,3,406.10,404.43
2017,4,406.39,404.55
2017,5,406.43,404.80
2017,6,405.64,405.08
